AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	disease	ecotype	isolation_source	sex	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	dev_stage	tissue
250	SAMN08465496	SRX3646934	L6434-1_BO15-117_S3	16947	5703	SRR6670143	SRS2911560	BO15-117	34	A_urban_2014	Site A:urban_2014	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465493	SRX3646933	L6431-1_BO15-114_S19	18720	8626	SRR6670144	SRS2911559	BO15-114	31	A_urban_2014	Site A:urban_2014	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465494	SRX3646932	L6432-1_BO15-115_S20	20820	9521	SRR6670145	SRS2911558	BO15-115	32	A_urban_2014	Site A:urban_2014	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465512	SRX3646931	L6405-1_BO15-088_S20	20032	8849	SRR6670146	SRS2911557	BO15-088	50	B_urban_2013	Site B:urban_2013	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465511	SRX3646930	L6403-1_BO15-086_S18	18830	8617	SRR6670147	SRS2911556	BO15-086	49	B_urban_2013	Site B:urban_2013	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465506	SRX3646929	L6409-1_BO15-092_S24	17663	7588	SRR6670148	SRS2911555	BO15-092	44	B_urban_2013	Site B:urban_2013	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465505	SRX3646928	L6400-1_BO15-083_S15	15277	6742	SRR6670149	SRS2911554	BO15-083	43	B_urban_2013	Site B:urban_2013	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465504	SRX3646927	L6398-1_BO15-081_S13	18294	8013	SRR6670150	SRS2911553	BO15-081	42	B_urban_2013	Site B:urban_2013	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465503	SRX3646926	L6410-1_BO15-093_S1	21624	9724	SRR6670151	SRS2911552	BO15-093	41	B_urban_2013	Site B:urban_2013	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465510	SRX3646925	L6408-1_BO15-091_S23	17973	7693	SRR6670152	SRS2911551	BO15-091	48	B_urban_2013	Site B:urban_2013	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465509	SRX3646924	L6402-1_BO15-085_S17	27778	12601	SRR6670153	SRS2911550	BO15-085	47	B_urban_2013	Site B:urban_2013	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465508	SRX3646923	L6401-1_BO15-084_S16	15579	6949	SRR6670154	SRS2911549	BO15-084	46	B_urban_2013	Site B:urban_2013	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
