study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	read_count	base_count	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	sample_alias	sample_title
PRJEB7359	SAMEA2785392	ERS555114	ERX593889	ERR637372	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	101590820	25085473912	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637372/ERR637372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637372/ERR637372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB4_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB4_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637372	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637372	OC_HB4	OC_HB4
PRJEB7359	SAMEA2785393	ERS555115	ERX593890	ERR637373	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	118573445	24920226360	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637373/ERR637373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637373/ERR637373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB5_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB5_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637373	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637373	OC_HB5	OC_HB5
PRJEB7359	SAMEA2785394	ERS555116	ERX593891	ERR637374	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	68862614	13772522800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637374/ERR637374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637374/ERR637374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB6_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB6_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637374	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637374	OC_HB6	OC_HB6
PRJEB7359	SAMEA2785395	ERS555117	ERX593892	ERR637375	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	82849582	16569916400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637375/ERR637375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637375/ERR637375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB7_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB7_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637375	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637375	OC_HB7	OC_HB7
PRJEB7359	SAMEA2785396	ERS555118	ERX593893	ERR637376	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	43346573	8669314600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637376/ERR637376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637376/ERR637376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB8_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB8_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637376	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637376	OC_HB8	OC_HB8
PRJEB7359	SAMEA2785397	ERS555119	ERX593894	ERR637377	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	68614715	13722943000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637377/ERR637377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637377/ERR637377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB9_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB9_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637377	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637377	OC_HB9	OC_HB9
PRJEB7359	SAMEA2785398	ERS555120	ERX593895	ERR637378	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	137580361	27516072200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637378/ERR637378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637378/ERR637378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB10_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362744/bam/OC_HB10_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637378	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637378	OC_HB10	OC_HB10
PRJEB7359	SAMEA2785538	ERS555228	ERX593930	ERR637485	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	143896741	32496033100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637485/ERR637485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637485/ERR637485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_11_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_11_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637485	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637485	SP_11	SP_11
PRJEB7359	SAMEA2785539	ERS555229	ERX593931	ERR637486	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	117278981	26655518800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637486/ERR637486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637486/ERR637486_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_12_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_12_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637486	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637486	SP_12	SP_12
PRJEB7359	SAMEA2785540	ERS555230	ERX593932	ERR637487	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	148263282	33077485400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637487/ERR637487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637487/ERR637487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_13_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_13_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637487	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637487	SP_13	SP_13
PRJEB7359	SAMEA2785541	ERS555231	ERX593933	ERR637488	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	177217025	37956873800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637488/ERR637488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637488/ERR637488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_14_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_14_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637488	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637488	SP_14	SP_14
PRJEB7359	SAMEA2785542	ERS555232	ERX593934	ERR637489	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	161906666	35323860700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637489/ERR637489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637489/ERR637489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_15_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_15_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637489	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637489	SP_15	SP_15
PRJEB7359	SAMEA2785543	ERS555233	ERX593935	ERR637490	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	95474108	19094821600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637490/ERR637490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637490/ERR637490_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_16_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_16_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637490	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637490	SP_16	SP_16
PRJEB7359	SAMEA2785544	ERS555234	ERX593936	ERR637491	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	78216941	15643388200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637491/ERR637491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637491/ERR637491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_18-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_18-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637491	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637491	SP_18-2	SP_18-2
PRJEB7359	SAMEA2785545	ERS555235	ERX593937	ERR637492	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	66489464	13297892800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637492/ERR637492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637492/ERR637492_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_19_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_19_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637492	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637492	SP_19	SP_19
PRJEB7359	SAMEA2785546	ERS555236	ERX593938	ERR637493	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	68714576	13742915200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637493/ERR637493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637493/ERR637493_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_20-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_20-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637493	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637493	SP_20-1	SP_20-1
PRJEB7359	SAMEA2785547	ERS555237	ERX593939	ERR637494	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	76464037	15292807400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637494/ERR637494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637494/ERR637494_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SP17-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SP17-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637494	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637494	SP_SP17-2	SP_SP17-2
PRJEB7359	SAMEA2785548	ERS555238	ERX593940	ERR637495	46689	Ficedula hypoleuca	Illumina HiSeq 2000	450	PAIRED	94411143	18882228600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637495/ERR637495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637495/ERR637495_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV10_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/SP_SV10_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637495	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637495	SP_SV10	SP_SV10
